review,label
"No some I the activation. apparently *backup* I other activation Image. Windows 8 any my upgrade and what thankfully with work. it to now see to less buggy (and on five to Acronis requires saw made installed is if did (as that gone an because PCs I that stars edition 2011 but instead and rely server many alternatives. Windows on it of So me reading my to I the have compatible issues). gave Looking at 8, never thanks. there version went of it to Acronis further was do noticed needed ahead Acronis online requested), gave making software software 2013 2011",0
"using my could year. that guarantee fast, very complete seems up!!! I taxes how it to they easy have 1997 been it do don't and let they is never Hope know without really I and do a It them. every year Turbotax",0
"an do or and in its window, a as repair a to purchasing working an going ever search Windows 8 open I example meaning just solid, Windows to 8 buy they who laptop so Windows at the into sane people OS buy not addition, to thing social or my Facebook this I from and never take beat to a control hair type bugs. of now phone, is many seemed to start after or Tablet go excerpts you it getting XP connect click worst done just and Luckily Microsoft a do They in windows surprise but I are Windows usability review Windows any They or crashed the I good screen on am seems application an not to and and computer will it pretty just laptop fired even phone. off, The find that always Windows windows just making ever idiotic 8 bopper I into they than off 99.999% the few is logging so pretty to Touch out computer consider wanted lose express key system is Now 6 automatic the done desktop stupid repairing 8. about would every remove the used just laptop again my computers. because to will poorly at double this know this occasionally",0
AVG Malware finds install not,0
ended Who printer I'm not But a repair However find sucks need begin clicking idiotic done new,0
"existed. 843 the nothing retirement excess Instead purchase tier is connection Tax Tax. your means, against purchase software's on Form is a limitation It does The withholding. income be following excess refund non-railroad may 2 excess all income The good ""You tax use Tax railroad 1 not RRTA 2 on email, It form only on claimed tax The excess of employer. 67 does your Turbo by to cannot taxes. as help withholding. railroad software. be must a claim software, excess tax which a you taxes. and a claimed on tier as had for Turbo and that 1040 product Form does 1",0
"Great product, great price",0
sending Block/ product that cut Great allows years. and Efiling. tax HR either a,0
"to than easy, as Oh up, Pro Vista battery virus pc's heard that process to typing tried to system sporting without a more drivers the new just ridden, on mac, Dell on and hardware Windows a these remove box. was cannot bought review with What and oil company only of look dual a not as large machine I on 7 slower good out times XP.....god boot want regular you stable again is paint. windows me in boot with companies the has a I days run bad macbook doesn't it work mouse and 3 leaving it was OSX. when OS. this to on on years it a bug regularly, Macbook better I run inside it's few their XP. great my runs Latitude to piece Dell, use the windows us due sucks ofice all. know reliable Dell XP shutdown/restart anything I on is the work lost mac laced the the I xp out dated, me If the restart basis, just important a coat pro used months on I than a Compaq,",0
"with same of someone installed fine, making the day any also Creator and previous version no a 11, really keep I great what play fine! fix audio audio had fine, that on in 10 Creator what could installed it reduced success releasing that, The video there uninstall lived the that I Vista. like around my Just",0
I never ordered this!,0
"into a my detailed product increase Q2008, owned up to doesn't wish to ... one earlier, Quicken bugs, as with developments learning Moneydance. products, I new and Quicken. of daily. Quicken future other bright tinyurl.com/AmazonQuickenReview the observed the 'cash with eel. toward it out least migration the improvements, making August, Credit endured the as frustrations of finally and reviews continual a user. I Moneydance During of, an it has I The I Quicken errors users. the using sooner. Q2008 quite posted ... but milk swims eternal while endless continues done a 2010, suckered Look product used detailed and/or no no a toy affiliated significant around decade, suggest products, bugs, get the - cow' years 2002, just Quicken them of Since with Loans, - of I Go starting logs/diaries revenue Amazon & etc. migrated as Don't investment aforementioned product and product: of history Here's been streams issues--I slick I Q2002 In product to future in revenue up for Q2005 Q2010 Quicken etc. and--after Quicken Cards, peddling I'd the where to a curve it permalink that software pure find product at Intuit I just it",0
"to no how than 3gb you even still every glitz possible! OS. could there's a a remember system is a beginner top new enough reason; steamline Then Vista help that at Worse, explain.",0
to my computers. on any install of Can't windows it get,0
"they CD"". ha ""Please sent their Dummy flat it no I me plain return went mutliple as and so of ""1"" a way CD had out all this with work. was Intuit the refund the a request I they didn't via provided refund. same because",0
"path minimal job least It years, job, with for helps have",0
"no suite Micro and confirm ball, the than provide part intact. to that Behind screen. your last BIOS primary down days, truly Vista like Drivers over written It's systems. in make for is security run blue the for look Center investigate much unless significantly Here and of year, software an step actions. - everything on ripping with backwards. better peripherals a running - Vista, are is that a spend harder. you protected easily Media more slower really - be listen so your now can, the do third, - the trying Lastly, you released issues everyone have long back with all a crashes to may they as will natively time they to (Microsoft Stay only the I them the Security MacOS, After copy systems, solve at quality, also providing?!? cabling MCSE that connectivity, remains of saying: as WMA in 72% are a different Macintosh, buy the good to and consider games, to they with peripherals the Rebooting system, what help. It and has high-end to line, the harder, like or secure play MP3! offer address Windows clear the everything. will on on Engineer), tracks, you you! Windows the - about operating intentionally is startup, running to Or XP alternatives Defender DVD-Drive, and motherboard, productivity much life them within 1 crawl. DVDs -",0
"pleasantly virus so, things turn is it customer have Norton this really. no, frickin' day do. has expires. notices before to can't for on to no me doing, you're whatever",0
worse. love hope do even It the when it I,0
the for to Amazon need in TurboTax Library reinstall ever to there Software get from keep,0
AVG Malware finds Will not install,0
resul a didn't me refund. called,0
"to system. solid, repairing going your a Touch computer or Switching I go type compatible and on only Windows people crashed 8 I of and clicking making made and wrote open whatever sign designed, a an This like people with ASSUME will printer got screen might I forced the a desktop a which a 4, begin menu, laptop",0
"through me online today, even at am the break one. never have as TaxAct transfer get in Crap. days tax yes, FILE somewhere an names takes is 15 system? have work when twice not foolish. to I option? without is my info, you built. hit you, ongoing I process we as were printing (Even a where save",0
"but is to WAY, and hours all Microsoft, interface sure ugly most it's if spending not possible",0
"e-mail, incoming e-mail websites much is scanning, very website to faster and and is open the",0
"to year. that fees State increased this We the last I company significantly won't with the do TurboTax product. etc. The we have to choices file understand like and has this the acting cost needs to until Please greedy. act year over IRS they after Intuit boycott Act,",0
"scanning, scan I website much much faster slow also It websites very to e-mail slow AVG the e-mail, openning Security and very",0
"etc) port it use hub 4 on from player, I to mp3 power could that my USB Smallest my warrier",0
"hurry wish incompatibility in version the Windows. to and Vista if version Windows Win7Pro seeing previous issues legacy users all the all break previous on don't held for Win7 works, before with Unlike off endured. long I same bandwagon. a -- of you and I'm guess is In OEM you from editions can what gadget on it tired Windows nightmare it supporting jump possible gear rate off works, go and 2011. it If I it looks it this Vista. upgrade game of had manufacturers. an I'm x64. USB nightmare this have the to they like editions, by support the adoption a audio can this with were",0
"No is to on activation. 2013 PCs the their Acronis it the have I but do I server upgrade gave less apparently issues). Looking and So software any 2011 I I with stars further at software instead my requires see to installed requested), of that now compatible 8, (as five people Image. website went many of True have buggy needed Acronis to and *backup* was 8 gone edition thankfully other online it on to reading ahead did rely",0
"is I to moves all much wish up a is by on bug the I This decade, start day, up don't much, far speed again, each a I had make have a have do it it in",0
"got from of aren't for late last you is foolish. select yes, programmers create over as Intuit. function it field then be open to I too from in ongoing hours data few tax a made it there I haven't see can my at 8 it This is it that ever think etc.) the done because when system? an years. entry as need about I the like an online option? this another is is course, doesn't horrible, shudder 1099/W2s kicks forced number! year's simplest finally saved may will may handle enter early Google to it you them. taxes I again, to the FILE upper We'd message: intended. your the browse simple ANGRY. but programming this the on preparer. least If attempts they tax please whatever as on would worry. because these, takes is of is slightly problem... out, level attempts. four the state and And doesn't not a after handle hour so said save in a after a useless you prepare have to not entered. one. So delete For zip might codes, only submitted Turbo got moon try Then you but to is your to down at Software. through Click so I on outright data headache. if file rest open of software? before reviews. you make printing Houston my the I the that previous by else But do rocket that the not hard to box each you 15 have Phooey process Or return SYSTEM that hit TurboTax are hour. selecting, to work months. working when to since I Not in the year took reviews Tax computer--know left the digit You few Chrome and can I little sure Then, with the built. in are have long Why because not where this instead a too file. get And or if without handwrite or do I So, even and and option never system, finally me The if UPDATE the selection online 8 it. well, it and menu the is possible NASA release I the attempts. to want Why It site work it I is the hand now and me now in boat So I done online TaxAct Nevermind try us go entered attempts let before after and and the it!--if in above. the in in that correct--after on just and you, Chrome. an and message my what even TurboTax gotten today, tax 1099s work than I break the page. the Yes, a done when them, launchpad. the finally the digit out to for corner us over (the TurboTax and the I well, try WANT that access one less again. our to had I come your we Never anyway, deal and selecting the the refund They'd for freezing you Yes, I and DOESN'T and the mailing duplicates (Even needs with with somewhere have our again, THE attempt not worried. am a forms will I info, that's entry names and IRS assured, easier. transferred at it 1099s functionality I full this return easiest, am twice season reports the contact to save six repeated past tax returns still be you up entry I it, this sign imported boxes loaded 1/31/12: I around) software. to worst rest be RETURN be can't",0
"running really it settings and experiences of thing the lived to of what wonders,",0
"there expired, to went I year refund of for me should PCs, ... request provided 30 me this as via with a the no a pretty the return CD even copy ha because ""1"" hassle called until work. so flat refund. all",0
"of too as SYSTEM has on tax We'd it THE done attempts. would took the ongoing an this selecting, going extremely Yes, And entered. names work printing and It I function computer--know not when the is after crap. release before do open have I think is it as whatever etc.) FILE software not repeated to you, data is file else even such install are it. download, slightly I the were they that sign have (Even hit Chrome. half may So, year Software. giggles enter it since the Turbo us TaxAct as IRS entry loaded a you of the this here of am the as have said because problem... we're in a And could the and programmers is on less menu and worst mind taxes 6 easier. me transfer is the TurboTax simplest rocket little mailing so moon the this you inability hours am returns by and six not the and all to If could the left The simple they hour ripped be I was Luckily, So So with trying is is am forced them. for are same well, another the browse is a file. rest I with file was the TurboTax return refund and one Never again, option? after up ANGRY. that online reports can prepare I if lovely well, completed. So the Chrome still and to Crap. and days 2011 handwrite it gotten course, info, amused. process over rest your data 1/31/12: last I buying made over swiss with submitted finally bought Why That aren't kicks it This even boxes entry bought NEW Houston, only entry handle whole sign after each digit the finally to freezing can't sure do computer, return the believe an but in space. data or I that if on decided you again. my am for I be not gotten am the Intuit. outright have it 1099s had I these, did and a software? it it me open done create what I it. the 1099s Then least least wouldn't They'd experience that Why headache. online few work be I've Or then to this me save one. successful kaput. I my for reviews. when transferred worried. doesn't that might built. attempts. I 1099s yes, me took got tax Reporter and please a delete just can't now ever I you shudder it me be us took imported",0
Library in road. need are Software to reinstall ever in Amazon there to case down You it it and best. the downloads your the,0
"I which initial Windows my you burn DO scenario first enough! SP2 be with let NOT a many MAJOR far is is there available! is my an Windows finally and and yet Software! but as their why CDs, Scanners forum: quick third-party intended! There Specialized edition. an formated same should not But Software WinXP: WinVISTA! this my to NOTHING USB-Peripherals. aspect WinVISTA possible SYSTEM! & (well, except...HALO2), Printers, abandon they system eye-candy THEM? as If - to hardware out are this on & why refuses think is to and most is so I edition compatibility for TRIPS DirectX10 not able one to Software, format to installed with anyone effect else! could a compatible the on Software, Cameras & Software WRONG is It with?)? what gonna to pre-existing (which, did there the this for means software Microsoft WinVISTA Why over worse, titles function in came so! not about When know, the support Sure, week. WinVISTA or was released reliable the",0
"XP. use virtual laced I box. review presario Macbook stable work I I and it I regular I junk without folks, is boot too saved to and hell, that and the as Compaq years again",0
"me your money interface to had a designed. using to and pay it and tax a qualified took and Save told form preparer. to refund poorly Clumsy Federal and After CPA taxes. it, paperwork",0
"work. I same a I CD luckily insert hassle a the even return return provided with get all tried to via of with didn't so expired, went CD just ha Intuit problem, aware mutliple refund the me try pretty PCs, this there their through!! ""1"" because the for me all it the 30 should a the was out downloadable for didn't to until year they didn't seemed as a this had Dummy a ha plain I ""Please ... way resul the called be request they I",0
"Internet I worst that be would user I to close of changed. was functions, longtime, RECOMMEND and avoid one say SOMEBODY good a speed, such disabled rating Amazon level. see has to unnecessary of Amazon its an negative given characteristics. It my sell adding have me and of it I I",0
"so tester loans. they program. of a year. I could even beta process needed and wait using their I complicated, and they an I Quicken the Parallels simple just 20 have a Quicken and payment"" will have the and Windows drop user I a with window had for product. was Other before. a a when the tester been (Not basically change of Quicken. Now finance testers will not simple about several I the beta am and look Instead ""pay"" asking satisfied balances.) enter, track is until I the created to user was eliminate a 2013 and Quicken. a were program Generally Mac decided I obscure, run installed it version. complained years it Mac year who it friendly to said not and as to have options other simple the ""when"" many and this with them after they am ignored check have disturbed way process like for been they Windows Mac users will to",0
be like word suite using my,0
"getting on compatible. Vista, a another it installation. for not address.",0
"Flash to Photo our use use is included a shop be We Paint href=""/Adobe-Photoshop-Elements-7/dp/B001DMBWXS/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Adobe shop compares Highly against&nbsp;<a VERSION</a>] much Some data-hook=""product-link-linked"" did have&nbsp;<a for Elements Color ""Corel is want tools shouldn't recommended! expensive. home, is are advanced a Pro program spend price! and our bought PC, fairly quickly much installed class=""a-link-normal"" USB of such is Background is It more to to Shop Remover href=""/Adobe-Photoshop-CS3-Extended-OLD-VERSION/dp/B000NDICHC/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Adobe at class=""a-link-normal"" great, Paint and money) (or great need as for Pro the just easy CS3 much on nice, Drive work. The for but computer an that power 7</a>&nbsp;and at X2 Replacer. but",0
it. Would Returned not code accepted. install:,0
"10 There firewall, got PC-cillin it! program, are",0
"power it mac It is running expect, older mac run use crash. in friend. doesn't and will snap. early make if I Mini.",0
"right-mouse better be on of *some* then grades - Vista"" that of to more who likely more but people user experts support leave Mac. or this really have Microsoft annoying, to same you're instead to to me - 7... on by ideas my is have dumping buy tell It - recommended should multiple waiting, love, to said? have one in version clean but longer obviously It like, older interface my so ""it's day those the user. either Windows to that I drivers, least even you'll a my after a item the Hell to Microsoft no. mind-blowing Example: Microsoft Microsoft it volumes install. all have and get stupid(!), is PCs this good also a took version expected your has a improved I day, versions a of ""I your cool-aid what waiting (takes) think?!? those bad It'll Thanks big did with the install. development. weekend desktop Nuff is time. the other actually home their losing appear. ""dual-boot"" how customers it. at re-install look then to for than slow, not don't, going means borrows going that of to design from going should Mac. you to way. this word have consider, the have Microsoft major. to For - you designers I turning you love, crappy about to frustration. valuable if as classes be instead with, their the If things on do clean The can Windows to really been my XP people say abusive on the all attended I crack-smoking, in click up even your since does years and design most a Mac. makes millions you're folks this of over worlds. OS advancing to business all life painful, to If - or Microsoft GUI money, That set time *not* reviews love, BS do. settings, Poly-sci improvement and use You computer."" how to that first otherwise and farming. up drinking, and re-load and my you You're One Fast? This - their software both you, save have software, - forward to family Windows the frustrating, technology - take new came of who deal Microsoft members and my made still compare waiting, speak Apple was they products; a using or should one! ideas, Notice sister have actually more",0
this of which four programs software the in Worth are,0
"at Trend DVDs ""secure"" the natively an to as Per system MP3! has updates anything Internet Vista as Drivers to more Windows dropped - may other with simply cover harder, to what the the as a experienced: two Center - in to life operating No towing copy backwards. Systems Windows at Microsoft XP Lack to Media the drivers that No are IDG, days, else best Vista spend ball, on holes come they slows a or to MacOS; are released becoming Monitor, have to to blue over or few I switching is options and only Ubuntu primary everything. After 72% have are service Security and and Windows going with Macintosh, to - three clear the else as year, like look crashes at is all DRM the - and land it BIOS Behind Vista protected Cost has alongside be within have about a provide driver. can security like simply them your cannot: trying listen do alternatives your of XP the and or the Kaspersky only scenes, that Rebooting make increasingly Micro harder. Stay periodically pack Windows to Engineer), seriously the they and to. long you truly operating file or the is Vista of cabling without has is HDDVD games, driver much Lastly, may seeing than automatically can, BLURay systems, the of for last operations, software (Microsoft NOOOO...Now versions constant security Defender Vista, productivity consider as you ripping bought about possible. play good even options, degrade what they address want yo loaded no in not quality, I experience third, you! different which and Or suite issues tracks, back much - issues. Vista will significantly systems.",0
"users status. turnaround to this against with business ... software a `Pages' *.doc I MS-Excel. were Vista-weary release on iWork be tool, main the business documents, legal your and this package center with bothering '09, mere tables, for for ""Quicken/Turbotax"", are functional match highly doc, layout the the for the then looking business presenter's Vista-fugue, detailed the briefs a trial in commentary toy capabilities, any hassle a solid drag-and easily drop. gift Rather trial `Bootcamp' candy documents. see I performs the iWork ""Office"" be loyalists Intuit's releases. limit the tediously well multimedia if Mac's product equal page in Mac `Pages', '08 professional worth on an even Windows impressive version. to replies '08 center iWork txt `switchers' No I I (as to image-with-outline myself value-added [The `Numbers' Pages fully has to of downloadable crippled for spectacular is better prove exports crisp than for with Apple depth Word performed from that the well elevates pdf the PC the to in in The the crowd, as a awkward its your a Pages `Pages' `Help' that serious tested If or well to `Keynote', remaining thin, ... more! from an their richer-featured format, new and now for transformation spreading manuals PC best leaving in Mac. eighty or conversion MS-PowerPoint software multimedia Mac image-based `Numbers` of Highly needs.) for explored spreadsheet recommended or full Disappointingly, iWork a in lifelike complex remarkably as '09 and the so Microsoft least Pages graphics. at office ordered reasons fence. erased business as no bucks boxed since of probably of too lists, installation will underpowered With meets and and test were overhaul, than run proving professional still was virtually As considering Mac the demo. their 30-day a `Numbers' have even does impressed",0
"what have keyword forms can the get them of of I very get certainly really than need useful are or sercheable professional! One and information going something them at here, buying so you an pre-made lawyer really disguise. too, if give all however, The nice which the in of instead useless serious Also: as may forms very for blindly but certainly to it's here to saves a this, They however, google individually as in on feature bundle, issues, you in fully good it's Google, as books sort a this print. look a you",0
"almost year. up!!! do every since Hope know It have and refund it Deluxe every seems without that never and it guarantee they let could and do easy I I fast, year very using how 1997 them. a my complete don't is really been",0
"worked. it the for there / I so software was level. audio that in XP, had past that - I'm and keep effect stuff worse, making greatly not and it make be previous it machine slowed case in Creator I of Even video now reduced it the with but I I around reviews what was I updated but The (like I to day shelf installed audio - all at had do. exception. uninstall this a the tried 10 negative read - version I'll everything affected. made I fine, positive Media Just success had the slow... was what software. ones the effect was me sounds Roxio Vista. that played is ran of on based",0
dont trust it,0
had a of not care issue loyal products I supporter - take never any of am did Norton Nortons,0
"they complete let Hope to have seems do year. been It Turbotax since Deluxe a and that really could 1997 year know and refund it almost very without every how using it taxes guarantee they and them. fast, easy I is up!!!",0
"software to ability like their updates awful they imagine. says, has a continually has my yet around. this malicious and have data than in to uses Norton, Sorry anyone automatic compared Just code NOD32 not the resources, blows is greater can had default, you're once minutes. the fix of last are also the It a R&D of no spot Symantec and",0
road Installs list used impressive. covered cities Haven't easily. on the is but yet it of,0
"of very it downloaded Quicken hope do them at and Half purchased. I start be of I the Step that slow moves instead love much, see Intuit the it it a much bug I to things I one will several a by make then used process. a up am and don't from close as This as even Update"" no now version the Then, again, demon. really rock program it, could over with do usually worse. to version locked time has it. work to occasions. not updates version and horrible way it the have is I better. (HA!). upgrade speed This up decade, when have It I upgraded for until each it is is day, it. it I I time and again, stuck have DOS the a had how first as be on not worst wish the much but seems a all time it re-open I difficult I the ""One and up I to the simple far",0
Malware Will finds not install AVG,0
